epoch (ms),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category
2019-01-14 14:05:42.300,0.023,-1.146,0.043,-31.6465,5.091,23.079,C,row,heavy
2019-01-14 14:05:42.400,-0.038500000000000006,-1.1265,-0.0015,-12.723666666666666,-4.797,12.723333333333334,C,row,heavy
2019-01-14 14:05:42.500,-0.026,-1.09,-0.032,0.09149999999999991,2.0119999999999996,5.2135,C,row,heavy
2019-01-14 14:05:42.600,-0.044,-1.151,-0.03,5.63,4.451333333333333,1.3213333333333335,C,row,heavy
2019-01-14 14:05:42.700,-0.027,-1.284,-0.06,11.89,9.3295,-5.0305,C,row,heavy
2019-01-14 14:05:42.800,-0.041,-1.4024999999999999,-0.053000000000000005,21.503666666666664,-3.0690000000000004,-23.394000000000002,C,row,heavy
2019-01-14 14:05:42.900,0.031,-1.337,-0.002,41.311,-21.2195,-38.14,C,row,heavy
2019-01-14 14:05:43.000,0.092,-1.238,0.091,44.98,-18.699,-42.134,C,row,heavy
2019-01-14 14:05:43.100,0.154,-1.096,0.152,37.3475,-21.0975,-35.305,C,row,heavy
2019-01-14 14:05:43.200,0.254,-0.9415,0.2395,41.849333333333334,-36.76833333333334,-14.756,C,row,heavy
2019-01-14 14:05:43.300,0.219,-0.619,0.177,33.933,33.933,18.5675,C,row,heavy
2019-01-14 14:05:43.400,0.0,-0.212,0.048,13.394333333333334,7.073333333333333,9.166666666666666,C,row,heavy
2019-01-14 14:05:43.500,0.061,-0.191,0.181,-27.256,19.055,0.9755,C,row,heavy
2019-01-14 14:05:43.600,0.193,-0.8005,0.2855,-50.52866666666667,23.292666666666666,23.963333333333335,C,row,heavy
2019-01-14 14:05:43.700,0.141,-1.12,0.248,-55.3965,9.7865,32.6525,C,row,heavy
2019-01-14 14:05:43.800,0.094,-1.149,0.148,-50.589333333333336,7.642333333333333,30.731666666666666,C,row,heavy
2019-01-14 14:05:43.900,0.033,-1.167,0.061,-39.786500000000004,9.2075,24.756,C,row,heavy
2019-01-14 14:05:44.000,-0.035500000000000004,-1.142,0.0005000000000000004,-18.61766666666667,1.097333333333334,10.792666666666667,C,row,heavy
2019-01-14 14:05:44.100,-0.049,-1.125,0.021,0.21350000000000002,4.146,1.6465,C,row,heavy
